Locus	wtA	wtB	wtC								
AT1G08930	3987	8523	5276								
AT1G08940	361	495	265								
AT1G08950	0	0	0								
AT1G08960	105	225	154								
AT1G08970	2498	4160	2878								
AT1G08980	1592	3950	1962								
AT1G08985	0	0	0								
AT1G08990	183	156	130								
AT1G09000	50	179	91								
AT1G09010	549	2213	1326								
AT1G09020	635	652	600								
AT1G09026	0	0	0								
AT1G09030	0	0	0								
AT1G09040	8	24	15								
AT1G09050	0	0	1								
AT1G09060	185	344	283								
AT1G09070	3644	7303	5786								
AT1G09080	1	3	7								
AT1G09090	11	37	22								
AT1G09100	148	250	176								
AT1G09110	0	0	0								
AT1G09130	591	1756	1150								
AT1G09140	491	1921	1026								
AT1G09150	326	577	265								
AT1G09155	36	45	40								
AT1G09157	0	0	0								
AT1G09160	1038	2560	1426								
AT1G09170	0	1	0								
AT1G09176	0	0	0								
AT1G09180	0	1	1								
AT1G09190	10	33	17								
AT1G09195	39	80	35								
AT1G09200	1296	3661	2457								
AT1G09210	1955	3697	3813								
AT1G09220	23	32	50								
AT1G09230	67	130	51								
AT1G09240	124	172	145								
AT1G09245	0	0	0								
AT1G09250	1108	748	687								
AT1G09260	0	0	0								
AT1G09270	2746	4047	2272								
AT1G09280	217	430	219								
AT1G09290	239	884	506								
AT1G09300	54	135	118								
AT1G09310	29155	65284	32438								
AT1G09320	63	250	167								
AT1G09330	519	1028	531								
AT1G09340	2313	5950	4958								
AT1G09350	83	87	42								
